Time,Channel A
(ms),(mV)

16.05119990,-0.03662221
16.05631990,1.81890300
16.06143990,5.52995400
16.06655990,3.67442800
16.07167990,5.52995400
16.07679990,-0.03662221
16.08191990,-5.60319800
16.08703990,-1.89214800
16.09215990,1.81890300
16.09727990,3.67442800
16.10239990,1.81890300
16.10751990,5.52995400
16.11263990,5.52995400
16.11775990,-5.60319800
16.12287990,-3.74767300
16.12799990,1.81890300
16.13311990,3.67442800
16.13823990,1.81890300
16.14335990,3.67442800
16.14847990,-0.03662221
16.15359990,-5.60319800
16.15871990,-9.31424900
16.16383990,3.67442800
16.16895990,-0.03662221
16.17407990,-0.03662221
16.17919990,3.67442800
16.18431990,1.81890300
16.18943990,1.81890300
16.19455990,-5.60319800
16.19967990,5.52995400
16.20479990,-3.74767300
16.20991990,-0.03662221
16.21503990,9.24100500
16.22015990,-3.74767300
16.22527990,-0.03662221
16.23039990,-7.45872400
16.23551990,-3.74767300
16.24063990,1.81890300
16.24575990,-0.03662221
16.25087990,5.52995400
16.25599990,-1.89214800
16.26111990,-0.03662221
16.26623990,-3.74767300
16.27135990,1.81890300
16.27647990,3.67442800
16.28159990,-1.89214800
16.28671990,5.52995400
16.29183990,5.52995400
16.29695990,-5.60319800
16.30207990,-1.89214800
16.30719990,-1.89214800
16.31231990,-1.89214800
16.31743990,-1.89214800
16.32255990,5.52995400
16.32767990,1.81890300
16.33279990,-3.74767300
16.33791990,-3.74767300
16.34303990,-3.74767300
16.34815990,5.52995400
16.35327990,-0.03662221
16.35839990,5.52995400
16.36351990,3.67442800
16.36863990,-1.89214800
16.37375990,-7.45872400
16.37887990,-1.89214800
16.38399990,-0.03662221
16.38911990,-1.89214800
16.39423990,5.52995400
16.39935990,3.67442800
16.40447990,5.52995400
16.40959990,-5.60319800
16.41471990,-5.60319800
16.41983990,3.67442800
16.42495990,1.81890300
16.43007990,3.67442800
16.43519990,1.81890300
16.44031990,-1.89214800
16.44543990,-0.03662221
16.45055990,-5.60319800
16.45567990,1.81890300
16.46079990,-1.89214800
